날짜,이재명,윤석열,안철수,총,이재명 지지율,윤석열 지지율,안철수 지지율
20.Feb,957,153,12,1122,85.29411765,13.63636364,1.069518717
21.Feb,4272,156,14,4442,96.17289509,3.511931562,0.315173345
22.Feb,4285,156,14,4455,96.18406285,3.501683502,0.314253648
23.Feb,6704,157,14,6875,97.51272727,2.283636364,0.203636364
24.Feb,6710,157,14,6881,97.51489609,2.28164511,0.2034588
25.Feb,6770,157,14,6941,97.53637804,2.261921913,0.201700043
26.Feb,10108,159,14,10281,98.31728431,1.546542165,0.136173524
27.Feb,10113,159,14,10286,98.31810227,1.545790395,0.13610733
28.Feb,10113,159,14,10286,98.31810227,1.545790395,0.13610733
1.Mar,10115,159,14,10288,98.31842924,1.545489891,0.136080871
2.Mar,10115,159,14,10288,98.31842924,1.545489891,0.136080871
3.Mar,10120,159,14,10293,98.31924609,1.544739143,0.136014767
4.Mar,10120,159,14,10293,98.31924609,1.544739143,0.136014767